市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,3213,茂訊,301000,268000,33000,0,0,0,14997,9000,5997
TPEX,3217,優群,120288,59000,61288,0,0,0,1765,5489,-3724
TPEX,3218,大學光,40091,10000,30091,0,0,0,519,961,-442
TPEX,3219,倚強科,249000,24000,225000,0,0,0,1905,590,1315
TPEX,3221,台嘉碩,2000,3000,-1000,0,0,0,0,0,0
TPEX,3224,三顧,0,6000,-6000,0,0,0,0,0,0
TPEX,3226,龍鋒,1000,0,1000,0,0,0,0,0,0
TPEX,3227,原相,859000,490500,368500,11000,385000,-374000,157548,58721,98827
TPEX,3228,金麗科,40000,82000,-42000,0,0,0,7177,2728,4449
TPEX,3230,錦明,576000,114000,462000,0,0,0,9000,10,8990
TPEX,3232,昱捷,67000,38000,29000,0,0,0,0,0,0
TPEX,3234,光環,148000,32000,116000,0,0,0,0,10000,-10000
TPEX,3236,千如,145000,227000,-82000,0,0,0,0,0,0
TPEX,3259,鑫創,0,1000,-1000,0,0,0,0,0,0
TPEX,3260,威剛,2793796,1105300,1688496,0,0,0,99876,50400,49476
TPEX,3264,欣銓,3303000,2833000,470000,0,196678,-196678,98537,235357,-136820
TPEX,3265,台星科,119000,12000,107000,0,0,0,400,0,400
TPEX,3268,海德威,9000,11000,-2000,0,0,0,0,0,0
TPEX,3272,東碩,12000,1000,11000,0,0,0,0,0,0
TPEX,3276,宇環,3000,5000,-2000,0,0,0,0,0,0
TPEX,3284,太普高,4000,4000,0,0,0,0,0,0,0
TPEX,3285,微端,4000,1000,3000,0,0,0,0,0,0
TPEX,3287,廣寰科,101000,167000,-66000,0,0,0,0,0,0
TPEX,3289,宜特,62000,57000,5000,0,0,0,0,0,0
TPEX,3290,東浦,98000,19000,79000,0,0,0,152,0,152
TPEX,3293,鈊象,887857,363002,524855,12000,0,12000,32141,13329,18812
TPEX,3294,英濟,379000,52000,327000,0,0,0,103,2000,-1897
TPEX,3297,杭特,497000,622000,-125000,0,0,0,0,0,0
TPEX,3303,岱稜,246000,18000,228000,0,0,0,1001,349,652
TPEX,3306,鼎天,88000,3000,85000,0,0,0,1000,0,1000
TPEX,3310,佳穎,2000,2000,0,0,0,0,0,0,0
TPEX,3313,斐成,1000,4000,-3000,0,0,0,0,0,0
TPEX,3317,尼克森,46000,12000,34000,0,0,0,61,0,61
TPEX,3322,建舜電,69000,6000,63000,0,0,0,0,0,0
TPEX,3323,加百裕,878000,1161000,-283000,0,0,0,0,3982,-3982
TPEX,3324,雙鴻,1432000,611000,821000,42000,0,42000,142756,18006,124750
TPEX,3325,旭品,209000,16000,193000,0,0,0,0,0,0
TPEX,3339,泰谷,268000,135000,133000,0,0,0,0,0,0
TPEX,3354,律勝,26000,6000,20000,0,0,0,0,0,0
TPEX,3357,臺慶科,252000,40000,212000,0,265513,-265513,2000,7917,-5917
TPEX,3360,尚立,12000,5000,7000,0,0,0,0,0,0
TPEX,3362,先進光,163000,51000,112000,0,0,0,2234,1972,262
TPEX,3363,上詮,3569091,3011112,557979,16000,0,16000,30545,168366,-137821
TPEX,3372,典範,125000,2000,123000,0,0,0,0,2,-2
TPEX,3373,熱映,14000,13000,1000,0,0,0,0,0,0
TPEX,3374,精材,455566,185000,270566,2000,0,2000,20572,1804,18768
TPEX,3379,彬台,307000,652000,-345000,0,0,0,0,238,-238
TPEX,3388,崇越電,3000,3000,0,0,0,0,0,1000,-1000
TPEX,3390,旭軟,101000,9000,92000,0,0,0,0,0,0
TPEX,3402,漢科,53000,14000,39000,0,0,0,0,0,0
TPEX,3430,奇鈦科,30000,5000,25000,0,0,0,35,11,24
TPEX,3434,哲固,737000,1067000,-330000,0,0,0,20000,10000,10000
TPEX,3438,類比科,37000,20000,17000,0,0,0,0,0,0
TPEX,3441,聯一光,20000,3000,17000,0,0,0,0,0,0
TPEX,3444,利機,75000,21000,54000,0,0,0,0,0,0
TPEX,3455,由田,59000,40000,19000,0,0,0,0,0,0
TPEX,3465,進泰電子,4000,2000,2000,0,0,0,0,0,0
TPEX,3466,德晉,137000,210000,-73000,0,0,0,0,30000,-30000
TPEX,3467,台灣精材,10000,9000,1000,0,0,0,0,0,0
TPEX,3479,安勤,139000,63000,76000,0,0,0,0,5000,-5000
TPEX,3483,力致,148000,26000,122000,0,0,0,2661,2290,371
TPEX,3484,崧騰,199000,91000,108000,0,0,0,6404,1213,5191
TPEX,3489,森寶,33000,18000,15000,0,0,0,0,0,0
TPEX,3490,單井,100000,10000,90000,0,0,0,0,9,-9
TPEX,3491,昇達科,1407000,686000,721000,0,615000,-615000,118283,257220,-138937
TPEX,3492,長盛,1000,2000,-1000,0,0,0,0,3000,-3000
TPEX,3498,陽程,103000,30000,73000,0,0,0,0,35,-35
TPEX,3499,環天科,2000,3000,-1000,0,0,0,0,0,0
TPEX,3508,位速,20000,8000,12000,0,0,0,0,0,0
TPEX,3511,矽瑪,134000,133000,1000,0,0,0,0,0,0
TPEX,3512,皇龍,3000,8000,-5000,0,0,0,0,0,0
TPEX,3516,亞帝歐,16000,16000,0,0,0,0,0,0,0
TPEX,3520,華盈,104000,17000,87000,0,0,0,0,0,0
TPEX,3521,鴻翊,1000,1000,0,0,0,0,3000,3008,-8
TPEX,3522,御嵿,0,38000,-38000,0,0,0,0,0,0
TPEX,3526,凡甲,75001,73000,2001,0,0,0,9111,2580,6531
TPEX,3527,聚積,6000,4000,2000,0,0,0,0,1000,-1000
TPEX,3529,力旺,417104,312168,104936,0,234000,-234000,12560,9672,2888
TPEX,3531,先益,1000,0,1000,0,0,0,0,0,0
TPEX,3537,堡達,70000,4733,65267,0,0,0,113,0,113
TPEX,3540,曜越,108000,31000,77000,0,0,0,0,0,0
TPEX,3541,西柏,0,3000,-3000,0,0,0,0,0,0
TPEX,3546,宇峻,3570000,3775000,-205000,0,0,0,85682,200575,-114893
TPEX,3548,兆利,182000,135000,47000,0,0,0,676,1765,-1089
TPEX,3551,世禾,297160,235000,62160,0,0,0,4451,2245,2206
TPEX,3552,同致,16000,7000,9000,0,0,0,301,2,299
TPEX,3556,禾瑞亞,6000,5000,1000,0,0,0,6000,0,6000
TPEX,3558,神準,472414,1296000,-823586,248000,0,248000,18181,38523,-20342
TPEX,3564,其陽,80000,131000,-51000,0,0,0,1007,438,569
TPEX,3567,逸昌,2000,0,2000,0,0,0,0,0,0
TPEX,3570,大塚,150000,16000,134000,0,0,0,274,669,-395
TPEX,3577,泓格,5000,1000,4000,0,0,0,0,49,-49
TPEX,3580,友威科,264005,440000,-175995,0,0,0,7818,3623,4195
TPEX,3581,博磊,133000,17000,116000,0,0,0,8703,0,8703
