code,name,net_foreign,net_investment,net_dealer,net_total
2535,達欣工          ,82347.0,0.0,0.0,82347.0
2423,固緯            ,69051.0,0.0,0.0,69051.0
2539,櫻花建          ,67015.0,0.0,0.0,67015.0
5243,乙盛-KY         ,80394.0,0.0,0.0,80394.0
2450,神腦            ,61402.0,0.0,0.0,61402.0
3535,晶彩科          ,61186.0,0.0,0.0,61186.0
2707,晶華            ,69386.0,0.0,0.0,69386.0
2107,厚生            ,68186.0,0.0,0.0,68186.0
2236,百達-KY         ,80391.0,0.0,0.0,80391.0
3380,明泰            ,99001.0,0.0,0.0,99001.0
6965,中傑-KY         ,65000.0,0.0,0.0,65000.0
1587,吉茂            ,64245.0,0.0,0.0,64245.0
6672,騰輝電子-KY     ,62991.0,0.0,0.0,62991.0
1110,東泥            ,53999.0,0.0,0.0,53999.0
2527,宏璟            ,70537.0,0.0,0.0,70537.0
3607,谷崧            ,64325.0,0.0,0.0,64325.0
2362,藍天            ,53392.0,0.0,0.0,53392.0
2351,順德            ,60009.0,0.0,0.0,60009.0
2929,淘帝-KY         ,75735.0,0.0,0.0,75735.0
"=""00684R""",期元大美元指反1 ,0.0,0.0,0.0,0.0
4771,望隼            ,51936.0,0.0,0.0,51936.0
6625,必應            ,57633.0,0.0,0.0,57633.0
5607,遠雄港          ,58100.0,0.0,0.0,58100.0
"=""00634R""",富邦上証反1     ,18000.0,0.0,0.0,18000.0
2451,創見            ,102639.0,0.0,-20000.0,82639.0
6456,GIS-KY          ,76512.0,0.0,0.0,76512.0
6443,元晶            ,-17398.0,0.0,0.0,-17398.0
4755,三福化          ,58878.0,0.0,0.0,58878.0
6405,悅城            ,43000.0,0.0,0.0,43000.0
3015,全漢            ,53000.0,0.0,-1929.0,51071.0
6216,居易            ,46042.0,0.0,0.0,46042.0
2406,國碩            ,6000.0,0.0,0.0,6000.0
2030,彰源            ,53009.0,0.0,0.0,53009.0
6133,金橋            ,54960.0,0.0,0.0,54960.0
8081,致新            ,59007.0,0.0,-1000.0,58007.0
4976,佳凌            ,46103.0,0.0,0.0,46103.0
8046,南電            ,59600.0,0.0,0.0,59600.0
4952,凌通            ,48221.0,0.0,0.0,48221.0
"=""00901""",永豐智能車供應鏈,8000.0,0.0,0.0,8000.0
6283,淳安            ,64321.0,0.0,0.0,64321.0
2108,南帝            ,49275.0,0.0,0.0,49275.0
1903,士紙            ,47048.0,0.0,0.0,47048.0
